POA_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
POA3000,18480,19492,37975,363,369,733,242,238,479,1515,2037,3559,5416,6480,11897,6909,6830,13736,1966,1605,3570,864,894,1754,658,604,1262,397,314,709,110,86,198,43,34,83,17850,18871,36726,636,619,1254,29,19,52,0,3,0,3,3,10,39,29,67,3123,2384,5509,12998,14961,27959,4646,3675,8323,11524,13714,25238,4716,4036,8749,47,47,91,191,189,376,1288,1791,3074,3867,4762,8624,2291,2610,4903,13855,15189,29052,793,689,1476,419,325,749,201,211,407,137,155,295,100,93,191,15600,16934,32527,8664,7999,16666
POA3002,2348,2612,4964,75,81,152,64,77,145,44,46,91,159,181,343,634,770,1407,371,346,719,280,295,571,314,356,664,276,268,546,85,94,181,49,100,146,2204,2473,4675,146,142,286,10,7,20,0,3,3,0,0,0,10,11,19,1501,1613,3112,582,694,1273,1775,1933,3708,325,374,695,1797,1975,3770,14,13,22,60,68,129,36,31,68,73,95,166,124,209,332,1723,1819,3543,113,139,253,71,105,183,22,32,52,10,25,41,4,8,9,1912,2138,4052,954,1193,2147
POA3003,2989,2528,5515,92,91,182,103,109,209,86,104,192,454,456,913,1225,968,2189,477,357,837,286,208,486,150,119,264,84,76,160,27,27,52,6,8,13,2901,2441,5340,88,88,170,51,9,64,0,0,0,0,0,0,47,9,65,1336,984,2318,1343,1281,2621,1323,1177,2497,1074,1092,2162,1416,1300,2710,17,17,30,88,97,187,65,75,144,249,261,507,295,311,601,1950,1849,3797,105,92,190,76,63,140,28,14,39,19,32,48,8,18,24,2346,2246,4593,698,301,997
POA3004,4528,4779,9307,139,142,284,142,144,280,114,144,261,363,453,818,1324,1478,2795,821,686,1507,465,508,968,455,497,949,447,407,861,172,170,340,94,147,243,4318,4549,8863,214,227,445,12,17,24,0,0,0,0,0,0,7,17,25,1985,1940,3926,1948,2226,4178,2640,2634,5269,1325,1552,2875,2744,2765,5511,23,29,54,112,122,232,85,107,191,181,239,419,238,350,585,3146,3290,6435,231,254,488,204,202,408,60,70,126,21,36,63,10,13,26,3823,4041,7859,1569,1431,3002
POA3005,275,254,525,22,13,27,4,14,19,6,9,20,30,27,58,93,89,179,56,36,90,31,34,67,20,19,38,15,12,26,3,4,5,0,0,0,269,245,511,6,8,17,0,0,0,0,0,0,0,0,0,0,0,0,83,80,167,104,118,223,102,106,207,89,91,179,113,105,219,0,3,3,0,13,10,3,9,12,17,11,29,17,28,45,140,157,295,11,7,23,12,4,14,0,3,3,0,0,0,3,5,10,173,198,370,290,216,509
POA3006,9465,9344,18808,281,300,579,159,165,326,346,472,815,1497,1711,3215,3838,3758,7599,1539,1184,2727,749,673,1428,553,590,1146,357,352,710,121,103,219,29,25,56,9065,8932,17996,398,419,818,24,7,37,0,3,3,3,3,6,29,14,41,2992,2540,5539,5194,5623,10815,4162,3593,7754,4040,4589,8625,4325,3851,8174,37,36,78,124,133,253,266,369,633,852,977,1833,786,895,1678,6841,6853,13698,456,373,828,293,296,590,99,80,178,57,63,114,32,44,73,7902,7973,15880,3562,3516,7077
POA3008,5379,5063,10437,262,261,528,112,110,217,196,231,426,701,808,1512,2084,1890,3976,809,639,1445,513,493,1005,396,392,789,241,183,425,54,45,96,9,9,18,5194,4908,10101,184,156,338,14,11,20,0,0,5,0,0,0,15,13,23,1535,1273,2809,3160,3132,6295,1969,1589,3560,2752,2858,5607,2212,1962,4176,36,30,65,84,88,177,145,183,331,470,478,949,392,476,866,3792,3592,7386,228,198,431,222,189,415,71,69,136,41,30,73,18,17,34,4712,4480,9196,1200,1214,2418
POA3010,724,875,1593,0,3,4,0,5,5,311,444,752,315,344,662,61,49,111,11,6,14,6,13,17,12,9,21,10,5,13,0,0,0,0,0,0,689,848,1531,33,31,62,8,17,29,0,0,0,0,0,4,13,21,33,445,566,1012,239,271,511,539,670,1204,151,165,312,529,661,1192,0,0,0,0,5,5,290,424,710,286,323,611,61,39,100,681,818,1504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,31,843,1041,1884
POA3011,11093,10370,21462,692,659,1347,689,651,1338,416,410,831,1245,1038,2285,3102,2926,6025,1925,1669,3592,1177,1095,2272,923,817,1734,485,483,966,305,374,681,139,253,395,10679,9936,20612,415,434,849,71,54,125,3,4,11,0,0,0,71,58,129,5302,5162,10463,4737,4259,8998,5537,5328,10866,4533,4160,8696,7385,7228,14614,113,104,216,595,576,1176,328,324,653,707,585,1294,987,1010,2000,6738,6277,13008,567,436,1007,600,496,1098,242,234,482,373,530,904,143,205,348,9941,9237,19180,1239,1179,2418
POA3012,13315,12982,26298,1029,953,1988,1252,1213,2463,558,512,1065,1124,994,2116,3224,2907,6128,2333,2266,4600,1535,1542,3072,1096,1126,2221,593,666,1261,388,516,902,180,284,465,12871,12516,25387,446,463,910,72,69,135,9,6,12,0,0,0,79,75,149,6986,6982,13969,5452,5134,10585,6846,6706,13555,5521,5453,10974,9703,9880,19580,196,160,351,1133,1100,2230,439,424,864,580,504,1083,809,901,1706,7106,7059,14164,850,668,1519,950,804,1753,387,400,789,539,725,1267,173,225,396,12251,12032,24277,924,805,1725
