POA_CODE,strokes
POA3000,24.66
POA3002,16.77
POA3003,5.14
POA3004,28.14
POA3005,0.58
POA3006,20.49
POA3008,11.18
POA3010,0.29
POA3011,47.44
POA3012,59.59
POA3013,37.59
POA3015,41.1
POA3016,46.78
POA3018,48.51
POA3019,18.98
POA3020,131.99
POA3021,147.76
POA3022,10.93
POA3023,102.22
POA3024,31.62
POA3025,55.0
POA3026,0.24
POA3027,4.7
POA3028,71.72
POA3029,129.78
POA3030,175.19
POA3031,36.39
POA3032,58.67
POA3033,60.49
POA3034,55.17
POA3036,23.24
POA3037,88.09
POA3038,70.88
POA3039,45.5
POA3040,77.96
POA3041,39.31
POA3042,60.12
POA3043,59.32
POA3044,92.52
POA3045,0.14
POA3046,120.15
POA3047,48.2
POA3048,35.27
POA3049,22.84
POA3050,0.38
POA3051,21.87
POA3052,22.01
POA3053,23.68
POA3054,21.18
POA3055,37.0
POA3056,55.19
POA3057,22.38
POA3058,101.42
POA3059,26.8
POA3060,55.05
POA3061,15.89
POA3062,0.0
POA3063,1.47
POA3064,94.22
POA3065,22.33
POA3066,13.18
POA3067,15.15
POA3068,44.68
POA3070,66.31
POA3071,53.28
POA3072,90.65
POA3073,190.6
POA3074,72.56
POA3075,73.32
POA3076,65.08
POA3078,28.93
POA3079,53.59
POA3081,38.8
POA3082,70.05
POA3083,95.63
POA3084,100.1
POA3085,46.89
POA3086,0.09
POA3087,30.27
POA3088,84.67
POA3089,23.67
POA3090,4.74
POA3091,4.11
POA3093,16.85
POA3094,25.69
POA3095,69.88
POA3096,6.74
POA3097,3.53
POA3099,12.01
POA3101,85.52
POA3102,20.89
POA3103,64.4
POA3104,73.53
POA3105,51.59
POA3106,70.35
POA3107,64.02
POA3108,92.82
POA3109,110.3
POA3111,56.24
POA3113,20.08
POA3114,9.9
POA3115,8.81
POA3116,29.67
POA3121,62.71
POA3122,52.44
POA3123,38.33
POA3124,91.07
POA3125,52.66
POA3126,33.12
POA3127,58.08
POA3128,58.96
POA3129,55.98
POA3130,130.19
POA3131,88.27
POA3132,47.89
POA3133,83.18
POA3134,103.67
POA3135,63.07
POA3136,146.83
POA3137,49.24
POA3138,55.75
POA3139,33.16
